L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
7.597117389823304645e-02,8.491521709356414371e-02,-1.217687456410892627e-01,-1.869724307156463705e-01,3.353514677514139730e-02,1.233125346666060357e-01
7.475194265982428032e-02,8.620355031790383205e-02,-1.215188281087484362e-01,-1.882331099933173546e-01,3.490232411052140299e-02,1.228094274922706952e-01
7.352235656925444618e-02,8.750795031515123945e-02,-1.212974282069229359e-01,-1.895021043159191010e-01,3.628011337061187724e-02,1.223096258254747631e-01
7.228246461026031910e-02,8.882808718260094827e-02,-1.211039355815075186e-01,-1.907793623725480836e-01,3.766865350154727232e-02,1.218139204013430205e-01
7.103231698127103477e-02,9.016364365824913740e-02,-1.209376915263744717e-01,-1.920648350918356950e-01,3.906808227336500822e-02,1.213230186332008992e-01
6.977196486033260259e-02,9.151431494830708502e-02,-1.207979939638927219e-01,-1.933584754034400333e-01,4.047853554442979590e-02,1.208375473325699750e-01
6.850146018358947708e-02,9.287980857653804767e-02,-1.206841022872055386e-01,-1.946602380175954383e-01,4.190014659573607775e-02,1.203580555522252155e-01
6.722085543755283721e-02,9.425984424939091999e-02,-1.205952420568436045e-01,-1.959700792219106202e-01,4.333304553349918986e-02,1.198850175337349139e-01
6.593020346529782083e-02,9.565415373154069478e-02,-1.205306095450128789e-01,-1.972879566946000585e-01,4.477735875802789367e-02,1.194188357416701290e-01
6.462955728664518396e-02,9.706248072706524788e-02,-1.204893761217192827e-01,-1.986138293333310767e-01,4.623320849651749165e-02,1.189598439676060326e-01
6.331896993229894910e-02,9.848458076208421730e-02,-1.204706924776465932e-01,-1.999476570988692470e-01,4.770071239711407701e-02,1.185083104878654064e-01
6.199849429183153932e-02,9.992022106525760838e-02,-1.204736926794818530e-01,-2.012894008727082462e-01,4.917998318137122710e-02,1.180644412598181175e-01
6.066818297533221188e-02,1.013691804430825599e-01,-1.204974980540351459e-01,-2.026390223278779767e-01,5.067112835204414661e-02,1.176283831424428800e-01
5.932808818846448118e-02,1.028312491474393103e-01,-1.205412208983112077e-01,-2.039964838121342827e-01,5.217424995304123514e-02,1.172002271276848112e-01
5.797826162061393146e-02,1.043062287333137578e-01,-1.206039680132527936e-01,-2.053617482427478602e-01,5.368944437827272154e-02,1.167800115700125957e-01
5.661875434574976246e-02,1.057939319050693050e-01,-1.206848440596022670e-01,-2.067347790121263629e-01,5.521680222609649108e-02,1.163677254024111651e-01
5.524961673557162584e-02,1.072941823500491304e-01,-1.207829547349215799e-01,-2.081155399035231057e-01,5.675640819605789339e-02,1.159633113278584204e-01
5.387089838446836726e-02,1.088068145586647967e-01,-1.208974097713991364e-01,-2.095039950161083353e-01,5.830834102464899082e-02,1.155666689761626897e-01
5.248264804577658371e-02,1.103316736304660872e-01,-1.210273257546562314e-01,-2.109001086987032370e-01,5.987267345686864833e-02,1.151776580168102360e-01
5.108491357879489658e-02,1.118686150659923134e-01,-1.211718287642919722e-01,-2.123038454915037176e-01,6.144947225044502387e-02,1.147961012192464242e-01
4.967774190598382017e-02,1.134175045444766466e-01,-1.213300568374391375e-01,-2.137151700751490635e-01,6.303879820968107117e-02,1.144217874527629353e-01
4.826117897976139881e-02,1.149782176877137130e-01,-1.215011622570687788e-01,-2.151340472265207415e-01,6.464070624599951853e-02,1.140544746188941333e-01
4.683526975829067213e-02,1.165506398106081476e-01,-1.216843136672315501e-01,-2.165604417806871185e-01,6.625524546239260071e-02,1.136938925099146847e-01
4.540005818964643058e-02,1.181346656590993999e-01,-1.218786980178736684e-01,-2.179943185984417053e-01,6.788245925911928769e-02,1.133397455877306198e-01
4.395558720374507372e-02,1.197301991363074053e-01,-1.220835223422804400e-01,-2.194356425389145104e-01,6.952238545813865800e-02,1.129917156781072990e-01
4.250189871142290299e-02,1.213371530178651014e-01,-1.222980153704751188e-01,-2.208843784367687801e-01,7.117505644391797226e-02,1.126494645757557533e-01
4.103903361005322575e-02,1.229554486575022143e-01,-1.225214289823609859e-01,-2.223404910835268256e-01,7.284049931840420877e-02,1.123126365565074447e-01
3.956703179510252105e-02,1.245850156840184603e-01,-1.227530395046441403e-01,-2.238039452126012185e-01,7.451873606810174855e-02,1.119808607932676475e-01
3.808593217703858808e-02,1.262257916908371691e-01,-1.229921488558535225e-01,-2.252747054876383381e-01,7.620978374134766697e-02,1.116537536730835695e-01
3.659577270301993951e-02,1.278777219193635573e-01,-1.232380855440499551e-01,-2.267527364938118628e-01,7.791365463402456781e-02,1.113309210131188248e-01
3.509659038281429111e-02,1.295407589373884227e-01,-1.234902055220665901e-01,-2.282380027317332527e-01,7.963035648209264294e-02,1.110119601738829564e-01
3.358842131841532908e-02,1.312148623137769365e-01,-1.237478929052644450e-01,-2.297304686136743546e-01,8.135989265946175220e-02,1.106964620684917217e-01
3.207130073685006411e-02,1.328999982906691468e-01,-1.240105605570132746e-01,-2.312300984618245181e-01,8.310226237985472719e-02,1.103840130672036346e-01
3.054526302569371063e-02,1.345961394543921108e-01,-1.242776505472422965e-01,-2.327368565083298146e-01,8.485746090143858611e-02,1.100741967969010582e-01
2.901034177083507484e-02,1.363032644062466825e-01,-1.245486344895252590e-01,-2.342507068968867345e-01,8.662547973311747473e-02,1.097665958355851096e-01
2.746656979606235116e-02,1.380213574342865346e-01,-1.248230137622821923e-01,-2.357716136856847500e-01,8.840630684149211604e-02,1.094607933022913870e-01
2.591397920406673244e-02,1.397504081871530079e-01,-1.251003196197384149e-01,-2.372995408515135851e-01,9.019992685759223305e-02,1.091563743432346079e-01
2.435260141848928292e-02,1.414904113509700412e-01,-1.253801131983289241e-01,-2.388344522948704918e-01,9.200632128258427744e-02,1.088529275152588655e-01
2.278246722666418117e-02,1.432413663302396500e-01,-1.256619854243104517e-01,-2.403763118459208425e-01,9.382546869174356041e-02,1.085500460680148688e-01
2.120360682273960198e-02,1.450032769336100091e-01,-1.259455568283077143e-01,-2.419250832711816179e-01,9.565734493606058153e-02,1.082473291265225318e-01
1.961604985088467867e-02,1.467761510653180224e-01,-1.262304772725505730e-01,-2.434807302808127405e-01,9.750192334092412649e-02,1.079443827760725588e-01
1.801982544831801786e-02,1.485600004230369642e-01,-1.265164255965093021e-01,-2.450432165364142267e-01,9.935917490139045682e-02,1.076408210516005687e-01
1.641496228791936712e-02,1.503548402027867492e-01,-1.268031091865979287e-01,-2.466125056592395615e-01,1.012290684736073809e-01,1.073362668339342407e-01
1.480148862021121725e-02,1.521606888114933887e-01,-1.270902634755674554e-01,-2.481885612387464690e-01,1.031115709620168269e-01,1.070303526554433199e-01
1.317943231452154383e-02,1.539775675877126104e-01,-1.273776513771118502e-01,-2.497713468414158311e-01,1.050066475020076523e-01,1.067227214178361749e-01
