L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
-2.252806304099755907e-01,7.627891571007544558e-02,1.115868489185812829e-01,3.800749756034281501e-02,1.262535881844241981e-01,-1.229386677388110694e-01
-2.267582216056447109e-01,7.798228711304906746e-02,1.112647862416143718e-01,3.651699007782792383e-02,1.279059556786704688e-01,-1.231854166832474506e-01
-2.282430437303254178e-01,7.969848343799261492e-02,1.109465977662446728e-01,3.501745371782966770e-02,1.295694383904100744e-01,-1.234383480773949826e-01
-2.297350612287901717e-01,8.142750770736073562e-02,1.106318741145843054e-01,3.350892455131904146e-02,1.312439959424945013e-01,-1.236968458422709194e-01
-2.312342384427072961e-01,8.316935881210971160e-02,1.103202014225101862e-01,3.199143777886881423e-02,1.329295946381038040e-01,-1.239603227015921849e-01
-2.327405396118594205e-01,8.492403171176678145e-02,1.100111631366146731e-01,3.046502776604334550e-02,1.346262071301259633e-01,-1.242282206379012460e-01
-2.342539288768185346e-01,8.669151763689783574e-02,1.097043417061390053e-01,2.892972808102887983e-02,1.363338120905714657e-01,-1.245000112271553994e-01
-2.357743702828824228e-01,8.847180429287010428e-02,1.093993201703397783e-01,2.738557153407495184e-02,1.380523938811269169e-01,-1.247751958574016412e-01
-2.373018277850978131e-01,9.026487606392492868e-02,1.090956836420680920e-01,2.583259021834502511e-02,1.397819422258993749e-01,-1.250533058371542661e-01
-2.388362652542131426e-01,9.207071421668333588e-02,1.087930206886595086e-01,2.427081555180224046e-02,1.415224518873450243e-01,-1.253339023992243173e-01
-2.403776464834218030e-01,9.388929710230539682e-02,1.084909246115641351e-01,2.270027831978434218e-02,1.432739223463121436e-01,-1.256165766057202315e-01
-2.419259351957714077e-01,9.572060035661485167e-02,1.081889946263724089e-01,2.112100871794944656e-02,1.450363574870618122e-01,-1.259009491600059927e-01
-2.434810950521294204e-01,9.756459709758101562e-02,1.078868369451934928e-01,1.953303639530196492e-02,1.468097652880595017e-01,-1.261866701313361372e-01
-2.450430896596079988e-01,9.942125811962379545e-02,1.075840657635500214e-01,1.793639049703478136e-02,1.485941575192607500e-01,-1.264734185979205505e-01
-2.466118825803625680e-01,1.012905520842737189e-01,1.072803041541511571e-01,1.633109970694997595e-02,1.503895494465414817e-01,-1.267609022140837038e-01
-2.481874373406889323e-01,1.031724457067780543e-01,1.069751848701264302e-01,1.471719228924571465e-02,1.521959595438526214e-01,-1.270488567071351160e-01
-2.497697174403525899e-01,1.050669039382971653e-01,1.066683510604428398e-01,1.309469612948114224e-02,1.540134092136080934e-01,-1.273370453095110100e-01
-2.513586863620924094e-01,1.069738901433825717e-01,1.063594569003972617e-01,1.146363877455436331e-02,1.558419225157465227e-01,-1.276252581316265899e-01
-2.529543075812474839e-01,1.088933662724707874e-01,1.060481681401786030e-01,9.824047471550554494e-03,1.576815259058400032e-01,-1.279133114807964045e-01
-2.545565445754620626e-01,1.108252930291638294e-01,1.057341625746371638e-01,8.175949205338045242e-03,1.595322479825590223e-01,-1.282010471314447564e-01
-2.561653608344289790e-01,1.127696300321015949e-01,1.054171304374714319e-01,6.519370734809596009e-03,1.613941192447419792e-01,-1.284883315517239832e-01
-2.577807198696359658e-01,1.147263359712608621e-01,1.050967747231213445e-01,4.854338627684270588e-03,1.632671718582590359e-01,-1.287750550915011949e-01
-2.594025852240837149e-01,1.166953687585419869e-01,1.047728114397258464e-01,3.180879293802105212e-03,1.651514394328059132e-01,-1.290611311365338354e-01
-2.610309204819469264e-01,1.186766856725289393e-01,1.044449697965450924e-01,1.499019016859204877e-03,1.670469568087121770e-01,-1.293464952335044438e-01
-2.626656892781529806e-01,1.206702434973292992e-01,1.041129923292655329e-01,-1.912160154549007261e-04,1.689537598538013996e-01,-1.296311041904129324e-01
-2.643068553078546379e-01,1.226759986554207538e-01,1.037766349666408572e-01,-1.889799682942971222e-03,1.708718852702968694e-01,-1.299149351566604715e-01
-2.659543823357750081e-01,1.246939073344480037e-01,1.034356670419114416e-01,-3.596705906022565520e-03,1.728013704117270510e-01,-1.301979846869899538e-01
-2.676082342054046381e-01,1.267239256079306098e-01,1.030898712524475347e-01,-5.311908620488635033e-03,1.747422531097487242e-01,-1.304802677932613564e-01
-2.692683748480320105e-01,1.287660095498575907e-01,1.027390435710189842e-01,-7.035381753910267821e-03,1.766945715107733350e-01,-1.307618169878641268e-01
-2.709347682915893007e-01,1.308201153431583219e-01,1.023829931120934650e-01,-8.767099203647463895e-03,1.786583639222531217e-01,-1.310426813223814491e-01
-2.726073786692964074e-01,1.328861993820530940e-01,1.020215419564898807e-01,-1.050703481646671905e-02,1.806336686684578974e-01,-1.313229254249377309e-01
-2.742861702280872671e-01,1.349642183682992769e-01,1.016545249376867577e-01,-1.225516236972801383e-02,1.826205239555510895e-01,-1.316026285394702455e-01
-2.759711073368025236e-01,1.370541294013612743e-01,1.012817893930145624e-01,-1.401145555411054296e-02,1.846189677457539535e-01,-1.318818835699756831e-01
-2.776621544941338948e-01,1.391558900625442796e-01,1.009031948828831848e-01,-1.577588795784011511e-02,1.866290376403705875e-01,-1.321607961326066172e-01
-2.793592763363059173e-01,1.412694584931432906e-01,1.005186128811396962e-01,-1.754843305237744483e-02,1.886507707714321913e-01,-1.324394836182868074e-01
-2.810624376444813555e-01,1.433947934666698343e-01,1.001279264395522339e-01,-1.932906417952354183e-02,1.906842037017074665e-01,-1.327180742683431169e-01
-2.827716033518771765e-01,1.455318544552300919e-01,9.973102982932903482e-02,-2.111775453989616150e-02,1.927293723328172281e-01,-1.329967062654710264e-01
-2.844867385505790436e-01,1.476806016901384133e-01,9.932782816249736968e-02,-2.291447718272930298e-02,1.947863118211833333e-01,-1.332755268421554340e-01
-2.862078084980427262e-01,1.498409962168604226e-01,9.891823699585776397e-02,-2.471920499694653384e-02,1.968550565015370624e-01,-1.335546914084991543e-01
-2.879347786232713813e-01,1.520129999443907420e-01,9.850218192012770435e-02,-2.653191070345802677e-02,1.989356398177084817e-01,-1.338343627012427428e-01
